时间,时,分,秒,原点纬度,原点经度,原点海拔,车轮角度,玉米杆东,玉米杆北,玉米杆天,19f角度,1af角度,航向角,玉米杆1东,玉米杆1北
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.86644,-2.334198,256.3202,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.86644,-2.334198,256.2077,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.90244,-2.337765,256.2077,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.90192,-2.337803,256.2792,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.90916,-2.344056,256.2792,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.91324,-2.343644,256.3153,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.93351,-2.349869,256.3153,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.93197,-2.350027,257.0196,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.95774,-2.356832,257.0196,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.96159,-2.356457,257.8046,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.97833,-2.359248,257.8046,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.97998,-2.359068,258.3274,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.99876,-2.360566,258.3274,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.99773,-2.360675,258.8938,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,19.01808,-2.363644,258.8938,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.62602,19.01859,-2.363593,258.9282,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.86118,19.05753,-2.367908,258.9282,18.86118,-2.354675,-2.354675,23.86118,-3.51598
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.86118,19.08617,-2.367237,210.7525,18.86118,-2.354675,-2.354675,23.86118,-3.51598
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.86118,19.11443,-2.371939,210.7525,18.86118,-2.354675,-2.354675,23.86118,-3.51598
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.86118,19.11892,-2.372093,242.1104,18.86118,-2.354675,-2.354675,23.86118,-3.51598
16:32:30,8,32,29,31.4327234694901,120.275946154639,5.90047371108085,18.86118,19.12174,-2.3711,242.1104,18.86118,-2.354675,-2.354675,23.86118,-3.51598
16:32:30,8,32,30,31.4327234694901,120.275946154639,5.90047371108085,18.86118,19.12174,-2.3711,242.8464,18.86118,-2.354675,-2.354675,23.86118,-3.51598
16:32:30,8,32,30,31.4327234694901,120.275946154639,5.90047371108085,18.86118,19.09404,-2.373034,242.8464,18.86118,-2.354675,-2.354675,23.86118,-3.51598
